SNP_ID	DiseaseTrait
rs12065087	No associated clinical information for this SNP
rs12063430	No associated clinical information for this SNP
rs621535	No associated clinical information for this SNP
rs4648860	No associated clinical information for this SNP
rs7527465	No associated clinical information for this SNP
rs12086212	No associated clinical information for this SNP
rs498939	No associated clinical information for this SNP
rs6694932	No associated clinical information for this SNP
rs10903087	No associated clinical information for this SNP
rs11249117	No associated clinical information for this SNP
rs2272935	No associated clinical information for this SNP
rs195717	No associated clinical information for this SNP
rs16829859	No associated clinical information for this SNP
rs2776747	Nasopharyngeal carcinoma (SNP x SNP interaction)
rs12122463	No associated clinical information for this SNP
rs6424105	No associated clinical information for this SNP
rs1929301	No associated clinical information for this SNP
rs10903095	No associated clinical information for this SNP
rs4378146	No associated clinical information for this SNP
rs12070415	No associated clinical information for this SNP
rs4649005	No associated clinical information for this SNP
rs13157	No associated clinical information for this SNP
rs6695069	No associated clinical information for this SNP
rs1702304	No associated clinical information for this SNP
rs435833	No associated clinical information for this SNP
rs11249231	No associated clinical information for this SNP
rs12058910	No associated clinical information for this SNP
rs12031599	Height
rs311452	No associated clinical information for this SNP
rs11585730	No associated clinical information for this SNP
rs443523	No associated clinical information for this SNP
rs2660353	No associated clinical information for this SNP
rs6692950	No associated clinical information for this SNP
rs2660367	No associated clinical information for this SNP
rs6673342	No associated clinical information for this SNP
