SNP_ID	Chromosome_Number	Chromosome_Position	Genes	DiseaseTrait
rs12725198	1	15753676	No gene information found	Cardiac Troponin-T levels
rs12569079	1	15797943	No gene information found	No associated clinical information for this SNP
rs7552077	1	15870264	SPEN	No associated clinical information for this SNP
rs16852052	1	15875007	SPEN	No associated clinical information for this SNP
rs10927873	1	15925405	SPEN	No associated clinical information for this SNP
rs698894	1	15983793	No gene information found	No associated clinical information for this SNP
rs11260711	1	16123251	No gene information found	No associated clinical information for this SNP
rs11588669	1	16164204	No gene information found	No associated clinical information for this SNP
rs6698317	1	16264577	FBXO42	Vertex-wise cortical surface area
rs4661736	1	16318782	FBXO42	No associated clinical information for this SNP
rs11260727	1	16326804	FBXO42	No associated clinical information for this SNP
rs11203280	1	17016288	No gene information found	A body shape index
rs2235927	1	17068280	PADI2	No associated clinical information for this SNP
rs730387	1	17084062	PADI2	No associated clinical information for this SNP
rs4920358	1	17212578	PADI1	No associated clinical information for this SNP
rs3003479	1	17219053	PADI1	No associated clinical information for this SNP
rs16823950	1	17225448	PADI1	No associated clinical information for this SNP
rs3003423	1	17252927	PADI3	No associated clinical information for this SNP
rs2293917	1	17274588	PADI3	No associated clinical information for this SNP
rs11585118	1	17279279	PADI3	No associated clinical information for this SNP
rs1204891	1	17368120	No gene information found	No associated clinical information for this SNP
rs3752353	1	17408374	RCC2	No associated clinical information for this SNP
rs2883272	1	17446663	No gene information found	No associated clinical information for this SNP
rs11203414	1	17503460	No gene information found	No associated clinical information for this SNP
rs4920374	1	17545533	ARHGEF10L	No associated clinical information for this SNP
rs2249161	1	17549894	ARHGEF10L	No associated clinical information for this SNP
rs2256114	1	17561468	ARHGEF10L	No associated clinical information for this SNP
rs10492992	1	17605572	ARHGEF10L	No associated clinical information for this SNP
rs6703771	1	17650065	ARHGEF10L	Core binding factor acute myeloid leukemia
rs883379	1	17657294	ARHGEF10L	No associated clinical information for this SNP
rs7531556	1	17678884	ARHGEF10L	Core binding factor acute myeloid leukemia
rs2185324	1	17713509	No gene information found	No associated clinical information for this SNP
rs6660824	1	17719448	LINC02810	No associated clinical information for this SNP
rs11584149	1	17733769	LINC02810	No associated clinical information for this SNP
rs7520825	1	17737787	LINC02810	No associated clinical information for this SNP
rs7552919	1	17798684	ACTL8	No associated clinical information for this SNP
rs4920642	1	17802037	ACTL8	No associated clinical information for this SNP
rs694214	1	17823015	ACTL8	No associated clinical information for this SNP
rs12097284	1	17832847	No gene information found	No associated clinical information for this SNP
rs587276	1	17867108	No gene information found	No associated clinical information for this SNP
rs627018	1	17884014	No gene information found	No associated clinical information for this SNP
rs597865	1	17885736	No gene information found	No associated clinical information for this SNP
rs675992	1	17888266	No gene information found	No associated clinical information for this SNP
rs620547	1	17904855	No gene information found	No associated clinical information for this SNP
rs7531345	1	17915810	No gene information found	No associated clinical information for this SNP
rs12083022	1	17918871	No gene information found	No associated clinical information for this SNP
rs7554885	1	17921317	No gene information found	No associated clinical information for this SNP
rs12408422	1	17926689	No gene information found	No associated clinical information for this SNP
rs10788647	1	17932969	No gene information found	No associated clinical information for this SNP
rs2095518	1	17942474	No gene information found	No associated clinical information for this SNP
rs12408792	1	17951928	No gene information found	No associated clinical information for this SNP
rs11588830	1	17988127	No gene information found	No associated clinical information for this SNP
rs1192613	1	17996331	No gene information found	No associated clinical information for this SNP
rs12743154	1	17999605	No gene information found	No associated clinical information for this SNP
rs12093627	1	17999812	No gene information found	No associated clinical information for this SNP
rs16861446	1	18022290	No gene information found	No associated clinical information for this SNP
rs1316880	1	18024372	No gene information found	No associated clinical information for this SNP
rs1031567	1	18051296	No gene information found	No associated clinical information for this SNP
rs9662272	1	18058089	No gene information found	No associated clinical information for this SNP
rs12739708	1	18099934	No gene information found	No associated clinical information for this SNP
rs4920297	1	18120051	IGSF21	No associated clinical information for this SNP
rs1858589	1	18121057	IGSF21	No associated clinical information for this SNP
rs11581496	1	18142260	IGSF21	No associated clinical information for this SNP
rs12742611	1	18148766	IGSF21	No associated clinical information for this SNP
rs4311853	1	18148947	IGSF21	No associated clinical information for this SNP
rs1013007	1	18223915	IGSF21	No associated clinical information for this SNP
rs12033929	1	18224189	IGSF21	No associated clinical information for this SNP
rs3738089	1	18228217	IGSF21	No associated clinical information for this SNP
rs223192	1	18284522	IGSF21	No associated clinical information for this SNP
rs223201	1	18295492	IGSF21	No associated clinical information for this SNP
rs1832787	1	18300423	IGSF21	No associated clinical information for this SNP
rs223216	1	18321367	IGSF21	No associated clinical information for this SNP
rs10489573	1	18358708	IGSF21	Core binding factor acute myeloid leukemia
rs10465918	1	18375405	IGSF21	No associated clinical information for this SNP
rs1577608	1	18381908	No gene information found	No associated clinical information for this SNP
rs7538502	1	18383247	No gene information found	No associated clinical information for this SNP
rs12410065	1	18453052	No gene information found	No associated clinical information for this SNP
rs10907312	1	18458972	No gene information found	No associated clinical information for this SNP
rs12144656	1	18465806	No gene information found	No associated clinical information for this SNP
rs11261014	1	18467142	No gene information found	No associated clinical information for this SNP
rs11261020	1	18479070	No gene information found	No associated clinical information for this SNP
rs3007720	1	18486532	No gene information found	No associated clinical information for this SNP
rs6679160	1	18492207	No gene information found	No associated clinical information for this SNP
rs17351864	1	18497409	No gene information found	No associated clinical information for this SNP
rs909948	1	18498709	No gene information found	No associated clinical information for this SNP
rs9439709	1	18523560	No gene information found	No associated clinical information for this SNP
rs2076778	1	18529122	No gene information found	No associated clinical information for this SNP
rs11261034	1	18564739	No gene information found	No associated clinical information for this SNP
rs11806753	1	18573017	No gene information found	No associated clinical information for this SNP
rs11261046	1	18615730	No gene information found	No associated clinical information for this SNP
rs2236835	1	18663757	PAX7	Body mass index
rs2236817	1	18723121	PAX7	No associated clinical information for this SNP
rs2743189	1	18729888	PAX7	No associated clinical information for this SNP
rs626600	1	18751331	No gene information found	No associated clinical information for this SNP
rs12732543	1	18767018	No gene information found	No associated clinical information for this SNP
rs4920537	1	18782689	No gene information found	No associated clinical information for this SNP
